symbol,Direction
Corin,M
Plekhb2,M
Tsga10,M
Adprhl1,M
Fkbp5,M
Evc,M
Gusb,M
Kcnb2,M
Gsap,M
B230209E15Rik,M
Tmigd1,M
Gm49542,M
Gm8947,M
Slc5a8,M
Ephx2,M
B930092H01Rik,M
Glyat,M
Camta1,M
C1qtnf3,M
Mbd4,M
Bok,M
Gm9968,M
Stk32c,M
Ldlr,M
Atp5e,M
Mrnip,M
Bmp6,M
Peg3,M
Dipk1a,M
Dock4,M
Kcng1,M
Plcl2,M
Brap,M
Gm11992,M
Eif4g3,M
Tmem256,M
Acss2,M
Depdc1b,M
Pank1,M
