symbol,tested,sum_a,sum_b,common_mean,dispersion,mean_a_sizenorm,mean_b_sizenorm,log2FC,p,p_adj,significant,Direction
Ar,TRUE,18,596,0.175929290150564,31.9550229228813,0.0101620457580137,0.392898020665323,-5.19717172627933,2.50806905609043e-38,4.63516242256072e-34,TRUE,DOWN
Ugt8a,TRUE,14,113,0.0401120694592165,36.7160149882415,0.007903813367344,0.0744924099583583,-3.14951153701433,7.41645467078375e-12,2.74126997541509e-08,TRUE,DOWN
Cyp2j13,TRUE,235,750,0.292867473576604,31.8248156052494,0.132671152951846,0.494418650166095,-1.89353816661054,6.86622345815516e-10,1.58618344662707e-06,TRUE,DOWN
Ryr2,TRUE,9,67,0.0223734288043693,36.6324283844426,0.00508102287900686,0.0441680660815045,-2.98904686482109,7.39077180633449e-09,1.36588853752868e-05,TRUE,DOWN
Dgkb,TRUE,64,213,0.0906072489709753,35.2434290446445,0.0361317182507154,0.140414896647171,-1.9426112918308,5.96502008318852e-08,8.47996431980054e-05,TRUE,DOWN
Fchsd1,TRUE,26,102,0.0364594412519257,28.7194400104431,0.0146785105393531,0.0672409364225889,-2.15512514347786,5.64441197891041e-08,8.47996431980054e-05,TRUE,DOWN
Slc7a2,TRUE,110,287,0.116578826656838,30.1931152825307,0.0621013907434171,0.189197536796892,-1.59902125355031,5.38619339766591e-07,0.000585542589307433,TRUE,DOWN
Hspa1b,TRUE,2,30,0.0110301593850864,40.4627073075119,0.00112911619533486,0.0197767460066438,-3.59274592812383,8.16833622978839e-07,0.000838661232570663,TRUE,DOWN
Trdn,TRUE,45,153,0.0641751053288641,42.0720575889906,0.0254051143950343,0.100861404633883,-1.966736703096,9.35554385705926e-07,0.000909998979064801,TRUE,DOWN
Col8a1,TRUE,97,253,0.104556543167561,34.3519469569758,0.0547621354737406,0.166783891322696,-1.59748696111507,2.60385472662552e-06,0.00229151615251268,TRUE,DOWN
Dnase1,TRUE,486,1064,0.511783806315699,31.3804979857337,0.27437523546637,0.701415258368967,-1.35237187148897,4.2582407293568e-06,0.0030891658529128,TRUE,DOWN
Kap,TRUE,201,449,0.243488120193252,32.6646170491658,0.113476177631153,0.295991965232769,-1.37908182692335,1.07076870550725e-05,0.00618402388952484,TRUE,DOWN
Bcl6,TRUE,102,232,0.0935073511810159,30.569953265319,0.0575849259620777,0.152940169118045,-1.40119773592917,1.56346874162056e-05,0.00875589873148167,TRUE,DOWN
Pde1a,TRUE,549,1085,0.457264339478422,29.9990595499603,0.309942395619418,0.715258980573617,-1.20503269785045,2.60077515789092e-05,0.0137329267880711,TRUE,DOWN
Gabrb3,TRUE,347,700,0.28674153145904,30.2747806837476,0.195901659890598,0.461457406821689,-1.23383925662,2.60079236828358e-05,0.0137329267880711,TRUE,DOWN
Sv2a,TRUE,20,64,0.0243398357932722,31.7756540886507,0.0112911619533486,0.0421903914808401,-1.8535625087078,2.87272623006932e-05,0.0147474592938642,TRUE,DOWN
Npnt,TRUE,266,521,0.221248455211634,29.6966499016258,0.150172453979536,0.343456155648714,-1.19072218334044,5.61389602051941e-05,0.0270195752051878,TRUE,DOWN
Slc7a13,TRUE,0,16,0.00612943029881847,87.0983681613115,0,0.01054759787021,-4.31097495970845,5.84807644720261e-05,0.0270195752051878,FALSE,DOWN
Crb1,TRUE,6,27,0.0080132902678466,28.7194400104431,0.00338734858600457,0.0177990714059794,-2.22351211845811,0.000215031374124395,0.0863911918520207,FALSE,DOWN
Syn2,TRUE,3,21,0.00773983285063741,54.243081386589,0.00169367429300229,0.0138437222046507,-2.68294373709541,0.000382624043950903,0.128002084023266,FALSE,DOWN
Snhg11,TRUE,2086,3481,1.7263960126842,29.2257755529503,1.17766819173426,2.29476176163757,-0.961997720949375,0.000473665749242419,0.153575731785073,FALSE,DOWN
Chst11,TRUE,70,155,0.0755785628187149,43.8344779245982,0.03951906683672,0.10217985436766,-1.35916721781568,0.000516181247747592,0.16447492482109,FALSE,DOWN
Map1lc3a,TRUE,7,27,0.0109257009711953,28.7194400104431,0.003951906683672,0.0177990714059794,-2.03086704051571,0.000544938010940265,0.167849989669784,FALSE,DOWN
Gm47564,TRUE,38,83,0.0350944373151703,30.215757075997,0.0214532077113623,0.0547156639517145,-1.33042732237462,0.000626603392338354,0.183813607838177,FALSE,DOWN
C1qtnf3,TRUE,20,51,0.0199110592984107,28.8341644081235,0.0112911619533486,0.0336204682112945,-1.53163441382044,0.000743330837055585,0.21134611076345,FALSE,DOWN
Snca,TRUE,31,71,0.0277245204545995,35.4509225939395,0.0175013010276903,0.046804965549057,-1.39343711990042,0.000906435858215462,0.235941423882816,FALSE,DOWN
Zfp94,TRUE,11,33,0.0135414696180987,28.9322895871192,0.00621013907434171,0.0217544206073082,-1.72601245898729,0.000963160379070321,0.244178373293573,FALSE,DOWN
Neu1,TRUE,634,1029,0.524345252138374,29.3624106136294,0.35792983392115,0.678342388027882,-0.921327958869161,0.00110036507940509,0.271144627099805,FALSE,DOWN
Reep6,TRUE,13,38,0.0160569709605916,37.0521747490951,0.00733925526967657,0.0250505449417488,-1.70155941526275,0.0011563510136279,0.273981065164836,FALSE,DOWN
Selenop,TRUE,132,233,0.115163183593196,30.6150502452217,0.0745216688921006,0.153599393984933,-1.03859440254032,0.0011444865948492,0.273981065164836,FALSE,DOWN
Slc34a3,TRUE,434,697,0.359090091408218,29.4903660411916,0.245018214387664,0.459479732221024,-0.90572375393167,0.00161015157054408,0.362892819210063,FALSE,DOWN
Cox6a2,TRUE,3,19,0.00797669102081251,82.4940288970856,0.00169367429300229,0.0125252724708744,-2.54544021334547,0.00169177949119154,0.372211628294176,FALSE,DOWN
Pear1,TRUE,7,26,0.0125161248470909,53.3949721253866,0.003951906683672,0.0171398465390913,-1.97839962062158,0.00200694220172689,0.423954605017421,FALSE,DOWN
Npas3,TRUE,16,43,0.0160469543014987,46.6883504235185,0.00903292956267886,0.0283466692761894,-1.59548089584507,0.00201872221424885,0.423954605017421,FALSE,DOWN
Zfp719,TRUE,8,27,0.0101730706643134,41.6563502844845,0.00451646478133943,0.0177990714059794,-1.8609420390734,0.00207864385317099,0.431633899443293,FALSE,DOWN
Tbx2,TRUE,215,351,0.183642407345452,30.308550754283,0.121379990998497,0.231387928277732,-0.928056234931938,0.00227862579420938,0.452809497879394,FALSE,DOWN
Mast3,TRUE,109,186,0.0927864592530874,30.1224120622295,0.0615368326457497,0.122615825241192,-0.989046864821086,0.00242497651190773,0.456706343071452,FALSE,DOWN
Bcl2l15,TRUE,0,8,0.00203856334313734,28.7194400104431,0,0.00527379893510501,-3.39343711990042,0.00267985199958933,0.490855213417699,FALSE,DOWN
