symbol,WK0,WK2,WK4,WK8,WK79,Sex
Slc9a4,20.33,83.6,54.67,105.83,62.54,F
Slc9a2,99.91,177.42,265.96,269.08,415.43,F
Mfsd9,55.62,67.45,89.95,150.82,203.07,F
Tmem182,26.18,87.55,45.69,55.27,38.55,F
Pantr1,423.76,1127.01,1432.92,1083.49,567.58,F
Pou3f3,871.46,1370.4,1716.85,1565.58,1295.11,F
Pantr2,64.9,120.09,109.01,77.8,103.98,F
Mrps9,1470.39,1702.4,2027.71,2215.42,1398.91,F
Gpr45,241.37,50.54,6,5.47,8.62,F
Tgfbrap1,241.88,289.54,400.72,386.75,447.39,F
AI597479,498.4,512.22,352.44,403.34,356.84,F
Fhl2,1573.04,1295.7,564.33,561.39,619.79,F
Nck2,457.6,340.35,301.81,254.14,170.15,F
Ecrg4,197.58,267.95,92.94,57.6,51.03,F
Uxs1,499.49,751.35,854.64,1099.51,1035.52,F
Tpp2,1698.35,924.55,847.84,855.5,896.69,F
Tex30,516.99,346.07,289.92,257.33,157.01,F
Poglut2,750.25,709.95,424.32,348.73,257.87,F
Bivm,403.97,458.51,425.64,481.43,428.37,F
Ercc5,364.85,238,251.66,265.11,315.41,F
Gulp1,467,614.17,272.26,226.43,149.55,F
Col3a1,12499.27,5792.42,1403.85,561.11,508.66,F
Col5a2,1353.65,737.97,304.34,240.25,553.18,F
Wdr75,684.73,563.76,492.57,494.7,462.71,F
Slc40a1,7435.34,7964.82,5113.57,4784.8,5362.4,F
Slc39a10,1624.68,705.5,415.35,460.33,496.93,F
Tmeff2,84.66,19.86,16.43,37.3,49.33,F
Cavin2,954.29,1854.72,1681.55,2089.93,1791.7,F
Nabp1,427.07,559.11,1013.27,937.26,1078.19,F
Gm17767,171.83,149.83,235.12,261.74,263.48,F
Myo1b,1074.22,652.63,282.7,259.9,274.82,F
Stat1,354.38,299.58,394.89,401.71,561.38,F
Gls,867.96,1800.46,3117.49,2662.1,1959.24,F
Nab1,276.74,356.29,387.17,392.67,349.85,F
Nemp2,257.54,127.65,55.9,41.21,58.18,F
Mfsd6,140.61,251.4,266.93,329.41,301.51,F
Inpp1,330.39,471.19,401.03,509.55,409.28,F
Hibch,739.85,1106.17,1652.66,2210.47,1456.33,F
1700019D03Rik,65.24,79.32,31.24,46.99,27.65,F
Pms1,220.72,303.39,162.97,176.78,144.61,F
Ormdl1,417.44,433.35,467.19,448,357.78,F
Osgepl1,367.7,601.14,988,997.29,819.84,F
Asnsd1,107.44,97.68,97.62,96.2,100.16,F
Stk17b,451.07,307.56,242.56,202.6,210.62,F
Hecw2,108.84,197.44,212.45,228.3,168.14,F
Gtf3c3,661.12,712.09,724.11,708.71,634.79,F
Pgap1,381.18,461.9,430.36,427.67,424.04,F
Ankrd44,142.06,156.77,212.54,191.59,261.15,F
Sf3b1,8971.46,5189.88,4340.81,4211.44,4751.13,F
Coq10b,190.26,299.21,531.27,831.04,569.73,F
Hspd1,5568.15,6341.46,8781.12,10076.94,7649.51,F
Hspe1,1757.22,1901.65,3114.6,3674.81,2188.37,F
Mob4,2387.25,2619.01,2395.33,2349.11,1783.38,F
Rftn2,220.06,321.28,100.41,117.42,92.18,F
Mars2,209.19,246.35,302.66,251.61,276.06,F
Plcl1,147.83,268.91,309.64,295.77,232.73,F
Satb2,87.32,199.24,316.32,241.36,229.86,F
9130024F11Rik,38.65,106.04,120.55,72.35,50.72,F
Tyw5,430.33,336.38,385.59,356.67,201.97,F
Maip1,778.38,703.14,889.87,811.95,526.35,F
Spats2l,598.36,415.1,224.91,263.57,285.68,F
Kctd18,247.79,127.89,108.45,101.92,120.13,F
Sgo2a,129.42,73.05,15.49,4.76,4.93,F
Aox3,108.18,70.28,49.02,69.81,40.55,F
Bzw1,6524.71,5406.75,4930.12,4839,3836.46,F
Clk1,4523.38,2280.68,1842.13,1640.27,1568.05,F
Ppil3,339.7,452.16,499.33,486.46,410.95,F
Nif3l1,1272.49,1079.17,963.42,994.98,870.02,F
Orc2,291.9,230.94,228.5,217.16,257.11,F
Fam126b,614.38,1294.62,1667.85,1957.84,1643.61,F
Ndufb3,1055.63,2369.73,3667.23,4025.85,2820.38,F
Flacc1,5.5,77.29,100.32,85.83,63.38,F
Cflar,1458.09,2389.37,2775.82,3054.82,3016.01,F
Casp8,360.4,522.39,540.03,505.62,589.3,F
Gm37760,46.02,20.12,20.41,9.26,15.98,F
Trak2,947.49,1120.27,1550.28,1565.73,1730.82,F
Stradb,385.72,799.23,1446.85,1789.4,1552.78,F
Tmem237,845.37,989.8,1069.89,1291.11,870.39,F
Als2,686.16,518.44,570.41,556.07,679.57,F
Fzd7,238.71,256.7,161.68,133.25,103.87,F
Sumo1,1627.79,1851.69,1865.75,2285.67,1293.91,F
Nop58,2986.88,1531.37,1102.48,1067.84,833.54,F
Bmpr2,1273.66,1233.09,1138.31,1074.18,905.49,F
Fam117b,477.44,346.01,392.08,285.82,293.34,F
Gm37531,298.17,116.24,115.87,52.16,111.31,F
Wdr12,1063.22,784.12,847.87,891.6,693.39,F
Carf,373.75,383.67,279.96,186.82,138.7,F
Nbeal1,598.19,799.4,853.56,801,809.39,F
Cyp20a1,1375.25,1145.44,911.75,951.24,821.64,F
Abi2,1506.04,927.27,802.66,750.23,759.07,F
Raph1,679.64,400.45,345.96,254.87,248.86,F
