symbol,WK0,WK2,WK4,WK8,WK79,Sex
Fbxo10,179.54,127.21,141.87,104.78,166.01,F
Tomm5,937.82,873.49,1104.44,1140.79,808.09,F
Trmt10b,303.4,369.4,405.14,436.64,308.47,F
Exosc3,244.74,157.86,187.53,184,309.6,F
Dcaf10,218.45,207.9,227.01,210.39,166.47,F
Slc25a51,3622.29,2856.17,3488.52,3646.85,4762.36,F
Shb,58.08,60.01,116.84,121.21,149.13,F
Aldh1b1,686.71,579.54,359.78,305.22,339.85,F
Stra6l,77.3,53.64,448.35,394.56,508.67,F
Tdrd7,318.38,296.5,316.01,275.61,399.7,F
Tmod1,166.51,42.76,38.51,47.87,55.56,F
Tstd2,731.83,725.68,556.38,588.12,697.39,F
Ncbp1,1000.25,693.17,567.07,565.73,618.11,F
Xpa,72,60.89,84.65,78.44,70.33,F
Trmo,90.21,239.71,202.95,213.76,171.32,F
Anp32b,851.39,521.08,427.88,376.84,366.46,F
Nans,480.26,456.15,327.65,288.57,319.08,F
Tbc1d2,38.16,47.79,49.9,57.35,91.69,F
Anks6,83.47,121.61,90.34,84.37,111.5,F
Col15a1,552.14,763.16,272.98,141.07,187.58,F
Tgfbr1,816.62,814.32,644.63,599.18,703.81,F
Alg2,869.51,535.21,532.16,548.17,868.26,F
Sec61b,931.67,840.78,929.71,1057.7,847.9,F
Stx17,446.34,519.89,604.82,657.01,627.56,F
Erp44,1433.77,1682.93,2286.83,2332.36,1749.06,F
Invs,79.76,83.78,81.01,78.28,133.92,F
Tex10,892.51,351.53,228.56,236.96,246.98,F
Msantd3,358.59,198.69,93.6,99,50.53,F
Tmeff1,125.67,48.59,14.04,9.86,3.68,F
Plppr1,192.95,119.18,44.34,49.56,28.9,F
Acnat2,57.82,73.76,715.62,1443.66,1632.31,F
Acnat1,34.16,89.66,285.21,263.9,217.78,F
Baat,3.69,87.39,228.81,201.02,154.5,F
Mrpl50,3109.14,3889.32,5983.73,5648.9,3771.85,F
Zfp189,231.59,299.67,224.9,245.13,250.68,F
Aldob,50759.91,153734.73,311763.44,337381.84,280050.08,F
Pgap4,420.82,503.43,746.44,809.22,802.16,F
Rnf20,1383.86,1165.2,1071.02,1218.9,1220.12,F
Smc2,1967.55,1235.21,455.57,281.68,204.76,F
Nipsnap3b,1291.57,1746.24,1611.84,1670.63,1187.97,F
Abca1,354.9,534.99,297.12,336.55,362.12,F
Slc44a1,958.9,1268.27,970,1128.41,750.46,F
Fsd1l,109.63,73.72,49.77,43.16,43.98,F
Fktn,580.66,906.71,937.99,1027.24,956.92,F
Tal2,9.46,43.07,31.41,50.48,26.77,F
Tmem38b,334.07,609.99,1223.11,1394.86,1045.86,F
Zfp462,357.84,320.52,228.37,188.46,201.13,F
Rad23b,462.28,345.93,455.64,394.69,343.1,F
Klf4,272.25,140.98,106.86,86.8,95.39,F
Elp1,1137.53,635.6,468.53,420.72,587.55,F
Abitram,332.95,318.97,265.38,257.82,344.07,F
Ctnnal1,1135.97,970.61,900.7,1007.79,877.76,F
Tmem245,1078.29,948.01,1113.19,1129.64,1376.38,F
Epb41l4b,159.38,250.06,300.62,332.4,277.49,F
Ptpn3,186.73,218.54,378.65,352.09,419.02,F
Pakap,2933.73,2818.94,2332.36,2787.13,4946.95,F
D630039A03Rik,218.82,637.27,896.4,686.78,797.16,F
Txn1,4207.53,4314.65,6307.17,5987.32,4719.38,F
Svep1,223.74,335.85,284.83,199.14,360.11,F
Lpar1,1006.62,573.11,391.67,392.47,338.99,F
Ecpas,1088.45,885.01,926.26,916.83,871.1,F
Ptgr1,545.05,519.18,434.58,436.75,327.47,F
Dnajc25,87.13,95.68,86.6,98.08,73.55,F
Ugcg,339.68,213.89,157.7,172.32,199.8,F
Susd1,176.86,156.14,58.52,92.24,69.18,F
Ptbp3,2858,2207.23,1632.7,1623.23,1333.55,F
Hsdl2,1250.82,2857.52,3054.32,4487.19,3334.75,F
E130308A19Rik,522.4,295.94,298.05,252.49,288.43,F
Inip,665.2,463.68,303.21,306.26,329.14,F
Snx30,144.76,217.6,217.73,212,223.28,F
Zfp37,481.57,210.01,96.56,98.19,100.8,F
Slc31a2,512.76,1237.31,1133.22,1305.53,1203.77,F
Fkbp15,795.18,607.86,606.04,561.65,869.15,F
Slc31a1,3683.97,6016.12,9272.43,9712.61,6979.93,F
Cdc26,856.33,619.55,579.57,623.53,519.06,F
Prpf4,1080.14,984.71,974.31,959.43,1001.06,F
Rnf183,41.88,1272.86,1789.01,2320.94,1576.26,F
Wdr31,484.64,630.63,688.52,643.71,588.13,F
Bspry,134.08,177.73,246.8,216.98,198.16,F
Hdhd3,143.4,778.31,745.55,744.55,547.31,F
Alad,2148.47,3680.21,4749.88,5863.8,5429.05,F
Pole3,1423.46,1146.44,1127.72,1158.21,1117.46,F
Rgs3,340.32,400.23,284.45,351.95,275.71,F
Zfp618,1222.06,743.49,444.95,376.69,473.43,F
Ambp,91.73,29.39,20.45,15.4,10.9,F
Kif12,3502.81,3624.5,3177.79,2761.97,3370.76,F
Col27a1,198.14,335.42,284.6,177.94,158.3,F
Orm1,0.21,1.5,0.64,137.98,36.63,F
Akna,79.18,42.25,22.49,44.2,129.87,F
Whrn,65.84,54.53,74.66,56.6,75.61,F
Atp6v1g1,2504.25,3321.31,4110.95,4169.25,2629.12,F
Tmem268,98.71,164.66,213.51,228.96,280.11,F
Tnfsf15,45.33,98.04,146.51,165.06,144.5,F
Tnc,2016.01,1277.47,269.44,343.93,521.64,F
Pappa,205.38,230.19,176.16,176.4,214.73,F
Trim32,843.38,943.67,722,770.81,981.53,F
Tlr4,73.76,131.96,96.34,139.52,153.65,F
Brinp1,59.1,48.05,2.69,1.42,3.17,F
Cdk5rap2,552.67,309.97,172.55,153.56,170.73,F
Megf9,317.93,290.26,338.94,360.7,264,F
Tle1,392.27,171.95,126.37,119.84,133.42,F
C630043F03Rik,233.24,90.34,68.95,74.07,50.88,F
Kdm4c,383.96,588.73,445.92,453.64,486.68,F
Dmac1,851.27,1178.13,1181.12,1126.9,740.4,F
Ptprd,1122.73,1986.51,2954.07,2543.99,2406.25,F
Lurap1l,222.69,132.82,83.91,83.95,223.21,F
Mpdz,575.43,310.41,195.21,191.04,209.77,F
Nfib,2364.9,2871.89,2598.63,3183.53,2500.97,F
Zdhhc21,296.41,435.11,427.93,311.62,281.29,F
Frem1,1343.91,608.87,104.2,51.34,53.13,F
Ttc39b,177.46,203.8,231.31,199.93,295.88,F
Snapc3,311.31,285.95,195.96,151.48,206.62,F
Psip1,718.7,406.18,288.37,251.35,213.2,F
Ccdc171,106.53,74.81,55.26,48.17,69.96,F
Bnc2,201.5,297.42,417.29,430.09,511.4,F
Cntln,288.3,246.12,135.21,98.06,83.65,F
Sh3gl2,308.73,373.24,278.15,311.84,262.28,F
Adamtsl1,481.07,281.34,134.37,112.71,185.94,F
Rraga,1210.52,1186.76,1145.47,1085.64,1024.66,F
Haus6,291.01,219.08,155.97,121.26,105.87,F
Plin2,1632.34,3814.93,3679.45,5930.16,4294.33,F
Dennd4c,137.8,117.79,107.85,90.69,113.51,F
Acer2,1543.54,1122.3,554.62,844.6,876.27,F
Mllt3,668.95,455.74,290.98,347.86,307.24,F
Focad,416.11,205.17,126.77,119.82,199.44,F
Hacd4,914.82,791.89,448.74,765.42,615.52,F
Klhl9,2932.53,4342.31,4828.64,4788.5,2574.19,F
Mtap,987.41,1079.76,1164.5,1164.35,1250.6,F
Cdkn2b,12.05,10.96,27,45.18,80.03,F
Caap1,45.34,79.41,104.3,75.57,47.02,F
Plaa,599.17,454.13,641.71,476.68,398.42,F
Ift74,1280.64,1262.85,1137.72,1061.76,697.95,F
Lrrc19,1254.17,4100.65,8547.47,8306.52,5430.87,F
Tek,1702.72,1948.78,1187.56,1243.05,994.28,F
Mysm1,2142.11,1211.4,1108.22,1078.29,815.51,F
Jun,616.01,202.08,117.88,122.47,282.21,F
Fggy,1176.42,4336.07,5762.74,6570.81,5971.59,F
Hook1,349.1,398.93,717.24,641.78,487.56,F
Cyp2j13,388.45,8.79,14.14,30.01,27.67,F
Cyp2j11,633.06,856.15,5976.13,7416.28,5070.08,F
Cyp2j6,1591.34,1957.76,1945.61,2078.52,1535.81,F
Cyp2j9,202.76,255.68,200.91,186.13,172.76,F
Cyp2j5,6881.99,16626.74,38226.35,37236,27550.08,F
Nfia,6752.99,7639.55,10368.68,8967.59,5410.07,F
Tm2d1,418.46,256.8,315.13,302.43,446.39,F
Patj,1264.76,948.29,1000.69,1067.83,1356.41,F
Kank4,91.5,82.85,46.65,31.45,36.14,F
Usp1,355.84,240.71,229.39,183.73,144.81,F
Dock7,685.81,364.45,296.25,212,281.39,F
Angptl3,87.92,146.82,684.58,999.31,2034.13,F
Atg4c,230.52,537.57,614.19,714.99,614.49,F
Alg6,514.08,678.96,456.45,436.7,333.65,F
Itgb3bp,270.99,425.04,497.65,431.87,322.57,F
Efcab7,68.38,66.19,64.84,59.73,81.75,F
Pgm1,2836.91,1951.1,2371.94,2859.91,3001.6,F
Ror1,152.93,97.07,83.77,79.13,74.48,F
Ube2u,28.07,107.16,359.05,353.73,226.31,F
Cachd1,398.02,418.8,507.67,492.06,442.58,F
Raver2,206.83,80.48,54.81,28.7,43.61,F
Jak1,4153.15,2470.24,2637.79,2530.94,3286.99,F
E130102H24Rik,80.72,52.21,124.96,90.67,109.47,F
Ak4,829.71,1278.35,4729.71,7228.37,4930.57,F
Dnajc6,146.48,441.7,451.42,526.04,524.84,F
Leprot,2111.62,2711.22,2166.59,2198.64,1889.3,F
Lepr,644.96,728.14,317.8,425.63,339.79,F
Pde4b,917.71,1072.12,674.02,671.26,825.86,F
Sgip1,117.66,45.02,34.21,25.98,31.74,F
Dnai4,79.86,66.16,75.44,82.04,85.72,F
Mier1,891.27,1315.42,1187.53,1486.31,1149.57,F
Slc35d1,597.98,716.77,868.65,825.69,738.46,F
Oma1,532.31,1070,1504.4,1624.67,1192.79,F
Dab1,435.56,200.46,143.49,104.52,137.12,F
C8a,6.39,4.34,201.69,851.87,881.16,F
Prkaa2,768.37,1206.28,2348.25,2207.63,2403.47,F
Plpp3,1975.16,1596.18,1320.45,1219.91,2070.16,F
Usp24,565.15,550.69,1058.14,870.91,934.74,F
Pcsk9,375.62,35.88,54.81,55.95,132.78,F
Bsnd,812.01,1866.62,1450,1886.11,2311.4,F
Tmem61,10.95,117.71,187.64,116.28,121.31,F
Dhcr24,714.02,630.69,839.37,1058.66,1303.52,F
Pars2,215.16,399.63,305.38,311.79,310.1,F
Ttc4,1251.05,1254.69,1261.53,1138.14,1048.66,F
Fam151a,263.19,1695.39,3615.45,3991.29,3847.76,F
Acot11,91.76,253.81,460.76,617.61,732.22,F
Ssbp3,2749.04,1759.43,1930.03,1748.11,1196.99,F
Mrpl37,1159.17,1056.16,1544.16,1470.41,1783.73,F
Cyb5rl,622.55,1235.54,1528.74,1704.91,1305.36,F
Tceanc2,289.19,565.41,592.63,612.38,463.97,F
Tmem59,12998.44,23153.63,27197.53,32063.47,21199.71,F
Lrrc42,1207.25,728,520.03,391.47,437.69,F
Hspb11,362.33,420.43,452.65,429.41,294.74,F
Dio1,7.58,1096.26,2733.76,2203.89,2077.94,F
Yipf1,872.96,1447.28,1898.31,2048.46,1540.19,F
Ndc1,574.76,443.89,313.95,289.05,285.19,F
Glis1,72.05,71.65,96.7,57.23,69.3,F
Lrp8,43.93,17.01,26.66,112.15,147.95,F
Magoh,1510.15,1147.4,1010.87,975.14,808.62,F
Czib,1252.55,1287.16,1352.33,1275.43,1042.21,F
Cpt2,1864.57,4485.63,5352.8,6987.72,6597.77,F
Podn,63.25,361.49,268.17,254.1,376.39,F
Scp2,2370.51,5312.59,9460.49,11574.11,9787.07,F
Echdc2,668.12,992.6,2293.72,2887.14,3406.84,F
Zyg11b,476.63,551.46,640.35,589.44,553.5,F
Coa7,780.57,1091.48,1319.48,1241.56,1085.33,F
Gpx7,916.25,965.64,289.04,163.22,108.29,F
Tut4,795.17,389.73,253.91,202.82,180.2,F
Prpf38a,955.02,934.4,770.18,745.07,570.38,F
Orc1,113.19,48.8,17.48,10.24,10.43,F
Cc2d1b,554.84,349.75,314.03,295.6,395.68,F
Gm17354,282.08,188.23,203.2,172.72,135.05,F
Zfyve9,512.16,336.06,442.95,438.09,348.57,F
Btf3l4,351.57,218.92,257.82,258.52,226.86,F
Txndc12,1730.74,1853.31,1786.32,1787.61,1233.16,F
Kti12,198.45,86.48,100.03,79.45,177.53,F
Rab3b,406.05,505.52,411.66,340.31,448.69,F
Nrd1,1017.51,976.4,1536.82,1485.55,1523.33,F
Osbpl9,1085.55,1847.56,4634.79,5394.89,3734.34,F
Eps15,1180.49,1244.88,1575.05,1584.01,1649.07,F
Rnf11,471.39,843.05,1448.37,1506.24,1202.25,F
9630013D21Rik,1.63,10.47,87.82,120.22,69.39,F
Cdkn2c,41.39,211.74,494.78,706.97,704.51,F
Faf1,317.15,285.36,456.1,439.84,353.9,F
Elavl4,70.33,2.33,1.22,0.4,1.4,F
Bend5,203.41,175.63,365.14,256.77,266.7,F
Spata6,280.63,194.1,159.33,125.54,165.64,F
Slc5a9,333.92,746.45,1040.25,1152.64,1451.26,F
Trabd2b,797.9,1429.64,2202.8,2142.2,1932.47,F
Foxd2os,322.18,116.54,60.95,54.04,57.48,F
Cmpk1,1712.69,2417.21,3796.54,3517.73,2364.65,F
Stil,511.96,143.51,21.13,9.41,8.41,F
Pdzk1ip1,10838.79,23056.63,35802.04,41110.91,38066.94,F
Cyp4a12a,0.66,2.77,10.41,67.97,273.31,F
Cyp4a12b,26.84,18.89,62.92,104.38,141.94,F
Cyp4a14,16.85,3225.72,6983.72,6720.25,5002.51,F
Cyp4a10,331.39,6012.01,20507.76,19582.41,15360.63,F
Cyp4a31,2437.04,3936.35,13292.33,13218.73,11281.45,F
Cyp4b1,190.89,507.92,3316.18,10517.8,24362.06,F
Efcab14,1065.06,1497.61,1690.57,1931.27,2246.11,F
Atpaf1,72.71,55.55,80.96,61.99,95.05,F
Mob3c,128.86,216.68,187.24,216.19,263.96,F
Mknk1,552.01,710.24,630.37,678.24,751.24,F
Faah,468.48,584.53,848.73,763.83,1427.2,F
Nsun4,754.9,1110.02,1199.35,1354.44,1330.37,F
Uqcrh,5662.4,8902.28,13319.39,13447.02,9801.85,F
Lrrc41,687.95,626.85,487.69,500.01,644.29,F
Rad54l,561.55,388,88.88,41.57,32.97,F
Pomgnt1,240.16,411.37,468,453.78,395.26,F
Lurap1,189.38,308.72,270,288.37,342.03,F
Tspan1,283.45,2339.1,2708.71,3360.2,3053.11,F
Pik3r3,268.55,617.75,327.24,364.77,350.22,F
Mast2,463.45,426.64,547.17,480.89,512.99,F
Ipp,384.03,476.06,577.82,566.41,580.24,F
Tmem69,259.68,379.04,515.22,546.38,440.61,F
Gpbp1l1,1219.45,1205.3,1407.66,1422.39,1165.98,F
Ccdc17,104.9,139.11,179.27,144.88,174.6,F
Nasp,2728.52,1245.81,833.25,560.71,486.75,F
Akr1a1,27455.94,40214.41,113970.18,127067.51,102374.85,F
Prdx1,13637.97,20093.61,31957.07,32939.49,21970.46,F
Mmachc,347.48,558.88,706.89,726.09,706.72,F
Ccdc163,554.52,481.63,394.69,340.61,310.25,F
Tesk2,119.96,180.53,237.15,211.95,320.13,F
Toe1,266.81,317.44,278.63,286.04,292.35,F
Mutyh,206.94,98.53,42.16,34.92,45.64,F
Zswim5,112.04,125.73,150.77,153.39,163.87,F
Urod,1627.45,2424.29,3386.94,3906.53,3945.36,F
Hectd3,105.95,161.51,328.28,255.17,261.98,F
Eif2b3,1031.3,942.38,918.17,1001.53,773.93,F
Ptch2,584.16,119.53,38.07,38.1,76.83,F
Plk3,298.66,43.47,76.56,80.15,144.95,F
Rps8,1021.81,547.81,539.83,481.17,439.08,F
Kif2c,587.67,474.13,93.45,22.91,22.73,F
Tmem53,335.25,1095.35,1426.43,1174.78,1074.75,F
Rnf220,288.36,204.11,210.09,193.56,241.04,F
Eri3,1913.51,1828.57,1345.12,1372.97,1253.58,F
Dmap1,664.86,343.11,315.09,295.07,530.47,F
Slc6a9,93.64,59.44,46.1,67.05,172.92,F
B4galt2,229.5,163.31,41.52,41.19,39.07,F
Atp6v0b,4055.02,6208.6,8958.93,10222.52,7505.17,F
Dph2,197.88,328.33,261.01,264.54,272.45,F
Ipo13,309.6,333.11,383.11,374.38,739.74,F
St3gal3,124.6,89.2,120.21,122.34,222.65,F
Kdm4a,595.36,242.91,146.56,152.78,306.95,F
Ptprf,2111.2,2268.94,2237.41,2624.58,2874.68,F
Hyi,78.99,121.08,232.39,221.52,202.61,F
Szt2,165.4,117.94,113.45,94.38,163.79,F
Med8,1250.14,1317.11,1738.38,1549.06,1189.98,F
Elovl1,3222.54,3877.91,6315.69,5715.02,4526.28,F
Cdc20,442.83,240.94,105.44,10.77,27.55,F
Tie1,2133.45,974.7,439.05,468.59,973.8,F
2610528J11Rik,428.28,952.51,1180.37,1333.06,1503.4,F
Tmem125,278.55,199.93,298.37,306.77,525.27,F
Ebna1bp2,1700.14,1406.54,1605.49,1797.94,1234.99,F
Slc2a1,3722.79,1608.53,1430.37,1480.62,2178.91,F
Zfp691,138.01,236.19,196.67,200.1,301.25,F
Svbp,866.03,915.02,716.42,612.38,487.92,F
AU022252,317.56,417.74,468.73,462.23,494.71,F
P3h1,195.15,277.17,189.95,121.33,104.27,F
Gm12927,42.95,30.24,78.2,122.22,97.61,F
Cldn19,810.38,1434.71,1040.49,1021.7,1138.56,F
Ybx1,2234.98,1510.87,1968.66,1658.44,1569.79,F
Ppih,223.76,87.34,86.17,71.03,69.6,F
Ccdc30,207.27,228.46,243.97,198.45,190.49,F
Ppcs,251.3,613.89,744.36,728.03,945.97,F
Frg2f1,53.61,55.73,84.23,95.72,120.08,F
Foxj3,496.82,361.09,402.26,406.44,329.15,F
Guca2a,118.17,163.37,260.24,269.86,141.34,F
Guca2b,331.95,196.47,15700.61,19515.79,13356.1,F
Hivep3,106.59,144.26,102.63,107.66,130.17,F
Scmh1,454.73,589.26,632.63,642.39,574.06,F
Ctps,786.02,579.24,677.79,534.29,635.18,F
Nfyc,705.56,612.28,538.69,494.94,616.1,F
Exo5,255.42,295.3,158.2,166.74,184.91,F
Zfp69,84.43,39.07,24.22,12.31,41.15,F
Smap2,213,281.96,369.24,349.4,380.86,F
Zmpste24,1808.87,2200.68,2734.45,2898.83,2547.5,F
Rlf,551.31,294.86,215.26,214.56,265.58,F
Ppt1,3295.82,4834.4,4569.03,5238.38,4445.87,F
Cap1,2442.56,2136.9,1598.11,1788.24,2760.75,F
Mfsd2a,21.34,3.48,169.24,168.44,310.09,F
Trit1,423.07,313.52,301.32,333.89,296.76,F
Ppie,1805.91,1212.87,1012.51,993.42,832.7,F
Heyl,1442.86,913.39,260.96,197.24,241.98,F
Pabpc4,165.51,72.14,89.76,77.23,81.3,F
Macf1,1252.47,1266.68,1174.84,986.85,1283.26,F
Ndufs5,433.13,553.01,844.41,918.58,1061.11,F
Akirin1,79,70.23,89.82,97.5,80.87,F
Rhbdl2,96.62,84.39,65.74,45.01,53.27,F
Mycbp,516.73,756.14,1147.67,1183.34,820.39,F
Gm12905,93.34,58.8,41.72,25.32,53.84,F
Rragc,341.39,400.34,562.15,544.24,544.96,F
Utp11,1062.26,1568.77,1529.97,1550.83,1042.46,F
Fhl3,84.41,54.98,25.14,29.75,23.72,F
Sf3a3,1909.61,1476.93,1143.02,1270.4,1098.92,F
Inpp5b,668.74,1391.14,1833.94,2325.57,1944.91,F
Mtf1,398.48,331.98,363.78,409.42,524.12,F
Yrdc,76.36,75.04,85.27,75.33,62.62,F
Cdca8,1540.88,829.35,240.25,88.44,66.57,F
9930104L06Rik,231.83,318.31,263.87,271.37,275.9,F
Rspo1,79.16,4.05,1.44,0.85,3.69,F
Gnl2,2035.75,1531.07,1367,1335.67,1135.43,F
Snip1,95.22,97.41,96.54,104.18,95.77,F
Meaf6,853.57,664.14,582.44,614.07,488.8,F
2610028E06Rik,138.64,2.37,0.81,0.79,1.01,F
Mrps15,746.41,729.14,804.88,854.8,1009.66,F
Oscp1,362.41,410.57,310.97,266.92,255.9,F
Lsm10,482.61,807.21,767.34,871.62,637.34,F
Stk40,264.44,348.09,402.52,406.7,392.82,F
Eva1b,470.48,142.96,73.73,64.49,199.44,F
Sh3d21,263.54,187.85,143.4,134.47,157.97,F
Thrap3,2308.43,1143.78,780.58,820.65,957.37,F
Map7d1,211.26,197.9,138.35,136.67,152.28,F
Trappc3,1211.88,1788.97,2090.16,2211.26,1939.42,F
Col8a2,97.41,45.31,7.05,6.39,5.9,F
Adprs,515.06,166.75,136.13,110.89,329.46,F
Ago3,215.71,237.64,244.79,209.92,247.33,F
Ago1,334.1,458.58,364.94,328.16,333.52,F
Ago4,67,81.86,59.09,65.4,71.97,F
Clspn,219.18,141.09,26.35,9.17,8,F
5730409E04Rik,66.12,59.2,41.29,52.9,86.06,F
Psmb2,5081.4,5567.14,5616.54,5822.52,4594.56,F
Ncdn,286.6,77,72.51,73.95,294.4,F
AU040320,670.85,769.33,991.88,1044.5,1506.36,F
Zmym4,494.64,392.35,308.8,225.68,273.13,F
Sfpq,905.73,1131.01,1209.11,968.55,643.47,F
Gm12940,426.64,324.3,226.03,97.37,101.65,F
Zmym1,98.34,136.04,93.53,122.99,109.18,F
Zmym6,479.16,254.77,227.24,218.31,318.83,F
Tmem35b,485.76,1106.58,1320.51,1402.08,945.77,F
Smim12,595.67,950.51,1213.75,1383.49,1258.58,F
Gja4,919.26,810.63,399.98,375.21,445.8,F
Gjb4,27.38,191.96,63.98,190.92,132.43,F
Tlr12,241.65,195.85,760.8,880.2,1211.68,F
Phc2,544.11,328.67,279.73,282.72,328.91,F
Zfp362,232.31,115.71,64.55,62.29,89.04,F
Trim62,72.76,57.78,32.12,29.06,40.94,F
Ak2,1887.22,1531.59,2289.82,2644.06,2893.01,F
Rnf19b,124.11,122.22,164.18,207.79,182.68,F
Tmem54,98.6,56.55,49.7,53.71,73.81,F
Fndc5,103.31,79.88,47.29,41.63,58.93,F
S100pbp,408.9,372.15,340.3,309.37,352.59,F
Yars,1472.55,924.33,987.43,969.29,999.09,F
C77080,350.86,340.54,354.43,344.03,478.41,F
Rbbp4,8501,7152.06,6326.35,7087.92,6036.34,F
Zbtb8os,312.02,410.8,660.19,646.1,501.51,F
Zbtb8a,304.72,233.3,126.66,111.96,137.33,F
Zbtb8b,59.13,74.98,28.85,24.2,40.59,F
Bsdc1,873.05,800.28,1099.61,1205.64,1302.73,F
Marcksl1,412.96,189.56,42.92,27.7,46.45,F
Hdac1,985.72,883.08,611.8,603.45,569.6,F
Lck,236.96,139.37,68.56,81.98,199.71,F
Fam167b,298,540.96,267.19,231.82,272.12,F
Eif3i,7599.63,6026.89,6194.52,6737.36,6636.9,F
Tmem234,2740.11,2924.68,3404.53,3338.74,3254.7,F
Iqcc,241.91,542.27,597.18,645.42,506.64,F
Ccdc28b,620.57,878.77,582.71,506.54,365.41,F
Txlna,805.14,493.65,418.83,401.63,746.3,F
Kpna6,463.63,481.33,648.29,531.61,698.1,F
Tmem39b,750.4,674.3,557.62,522.41,656.47,F
Khdrbs1,556.61,362.05,333.9,260.89,246.2,F
Ptp4a2,10991.78,8765.08,8943.64,9925.84,6189.01,F
Gm12966,75.24,18.82,14.4,12.48,7.79,F
Col16a1,182.99,58.85,22.4,21.73,45.52,F
Pef1,805.05,1009.06,1228.58,1417.89,1696.66,F
Tinagl1,1072.63,1055.85,879.23,854.36,1261.14,F
Ldc1,634.35,337.43,1463.99,1867.47,1736.27,F
Serinc2,1031.44,1457.53,848.11,1353.08,1670.14,F
Fabp3,1650.61,1557.41,2499.8,2264.61,1730.46,F
Zcchc17,983.36,1473.39,1662.64,1830.53,1461.34,F
Snrnp40,835.24,502.62,366.45,364.34,456.55,F
Pum1,4049.14,2381.23,1712.03,1915.4,2593.37,F
Sdc3,359.59,287.45,192.08,165.55,231.15,F
Laptm5,698.46,747.66,744.36,1036.45,2168.14,F
Ptpru,494.99,365.36,264.31,257.49,376.91,F
Mecr,954.3,1599.74,2327.3,2652.72,2019.65,F
A930004J17Rik,179.79,73.3,70.16,37.75,42.9,F
Epb41,1629.63,1472.56,2173.74,2485.91,2464.03,F
Ythdf2,2416.51,1682.5,1502.55,1558.29,1354.09,F
Gmeb1,761.56,385.85,237.44,197.17,278.82,F
Taf12,516.42,988.53,1331.37,1501.98,1086.64,F
Rab42,17.2,72.61,93.17,85.23,116.09,F
Snhg12,213.13,158.78,184.01,183.09,214.83,F
Trnau1ap,502.95,256.74,272.27,265,532.71,F
Rcc1,562.17,312.65,280.77,237.08,419.04,F
Phactr4,1631.82,1508.14,1461.97,1487.75,1422.5,F
Med18,388.52,281.78,171.55,229.07,221.09,F
Sesn2,350.52,372.02,335.24,479.96,899.37,F
Atpif1,5636.19,8924.54,12326.94,11998.25,8245.06,F
Dnajc8,3098.7,2917.45,2352.63,2315.59,1572.38,F
Ptafr,58.88,121.46,77.23,110.45,181.02,F
Eya3,312.85,300.82,267.53,286.92,312.46,F
Xkr8,107.45,157.65,118.05,143.83,146.62,F
Smpdl3b,159.62,31.22,22.01,28.24,43.41,F
Rpa2,1011.94,928.17,484.37,395.8,311.75,F
Themis2,56.29,51.85,45.7,71.18,127.42,F
Ppp1r8,756.41,522,367.19,368.07,382.15,F
Stx12,1976.38,2106.08,1980.76,2058.58,1915.94,F
Fam76a,476.44,625.89,583.45,639.02,634.78,F
Fgr,21.34,78.73,52.83,63.96,151.74,F
Ahdc1,144.21,146.76,127.87,97.94,123,F
Wasf2,1691.6,978.33,742.76,774.36,1102.25,F
Cd164l2,216.66,211.03,192.3,201.55,244.3,F
Sytl1,29.54,22.12,39.76,49.93,160.43,F
Tmem222,1878.62,1577.89,1561.35,1740.36,1672.66,F
Wdtc1,260.34,347.33,511.44,433.15,641.51,F
Slc9a1,311.67,308.64,260.61,256.11,372.13,F
Kdf1,309.02,150,180.41,174.69,457.6,F
Nudc,509,259.22,290.04,281.36,595.8,F
Nr0b2,5.83,32.9,287.14,267.58,270.48,F
Gpn2,99,71.97,86.4,68.09,147.11,F
Sfn,222.98,283.09,123.36,210.82,189.22,F
Zdhhc18,77.84,56.76,62.78,61.49,104.01,F
Pigv,179.86,231.71,276.17,276.63,419.6,F
Arid1a,2492.1,1693.5,1425.2,1275.71,1237.93,F
Rps6ka1,312.25,332.85,255.46,250.26,307.83,F
Hmgn2,1287.08,833.42,341.21,262.34,138.83,F
Dhdds,826.62,704.01,775.45,792.05,961.94,F
Cd52,71.31,148.08,271.49,398.79,792.82,F
Ubxn11,250.41,115.98,117.41,127.87,124.14,F
Sh3bgrl3,2651.36,3364.94,2777.2,3794.77,3672.62,F
Cep85,436.85,469.18,618.83,706.11,851.01,F
Cnksr1,236.43,142.9,250.83,300.27,421.88,F
Pdik1l,389.75,477.81,393.19,400.71,381.38,F
Trim63,89.81,172.94,271.39,216.07,233.75,F
Slc30a2,175.68,1034.37,1019.84,927.73,689.58,F
Pafah2,1104.04,1457.13,2356.5,2456.98,2347.34,F
Stmn1,762.52,537.87,254.66,155.17,99.46,F
Paqr7,212.71,530.71,1386.45,2135.83,1962.57,F
Aunip,91.94,37.83,7.53,4.8,4.23,F
Mtfr1l,2779.83,3558.52,5456.77,5633.95,4753.1,F
Selenon,300.49,208.58,78.7,64.59,98.24,F
Man1c1,125.2,149.24,98.74,75.69,88.8,F
Ldlrap1,770.67,527.84,359.71,303.7,493.86,F
Maco1,330.3,417.74,494.38,531.22,358.2,F
Tmem50a,3771.52,5108.95,4531.59,4719.8,3559.12,F
Rsrp1,1335.97,1311.78,1627.93,973.21,1004.91,F
