symbol,tested,sum_a,sum_b,common_mean,dispersion,mean_a_sizenorm,mean_b_sizenorm,log2FC,p,p_adj,significant,Direction
Slc7a13,TRUE,13,5370,0.829816079640268,56.7920051090223,0.00625748993906776,1.3486359982236,-7.64538665063783,2.34134344573085e-54,4.72670414824144e-50,TRUE,DOWN
Slco1a1,TRUE,2,2069,0.249987486643631,58.8648745112526,0.000962690759856579,0.519614130414271,-8.49221911820544,4.04478898629095e-47,4.08281000276208e-43,TRUE,DOWN
Ugt8a,TRUE,23,3976,0.53521402653297,54.1390191745184,0.0110709437383507,0.998543152502243,-6.43426891262396,6.57703271910339e-47,4.42590455110864e-43,TRUE,DOWN
Cyp2j13,TRUE,58,7195,1.00961166595894,53.8118868570451,0.0279180320358408,1.80697132350444,-5.99210298842954,1.59009277311133e-46,6.42015858071431e-43,TRUE,DOWN
Chst11,TRUE,3,1826,0.237423104392446,54.728766093355,0.00144403613978487,0.458586467924823,-7.89702748516739,1.41352880677088e-46,6.42015858071431e-43,TRUE,DOWN
Ar,TRUE,32,3923,0.567247831283736,54.2985919141842,0.0154030521577053,0.985232592370799,-5.95548177340069,2.41708011794393e-43,8.13266890350867e-40,TRUE,DOWN
Kap,TRUE,357,19195,3.3642766168613,54.8502674583862,0.171840300634399,4.82068305137841,-4.80646888699184,4.20303702577706e-36,9.42787905293192e-33,TRUE,DOWN
Ugt2b37,TRUE,4,787,0.103089257022699,66.2025963786068,0.00192538151971316,0.197649260819735,-6.36189029110892,5.33187270960641e-29,9.78544056923038e-26,TRUE,DOWN
Cd36,TRUE,16,959,0.125537236594641,56.3198185734879,0.00770152607885263,0.240845795585928,-4.88119432089808,1.61094974680721e-27,2.71015445737866e-24,TRUE,DOWN
Atp11a,TRUE,383,10301,1.42497782153065,54.3075449495769,0.184355280512535,2.58702037573581,-3.80744089054204,5.30421680924321e-26,8.23704068807707e-23,TRUE,DOWN
Gm33906,TRUE,2,349,0.0530311266380016,58.3859542595948,0.000962690759856579,0.0876487827523347,-5.92801517765108,6.72054406630114e-23,9.04495624069917e-20,TRUE,DOWN
Ldc1,TRUE,33,910,0.139913329733304,55.2728314903306,0.0158843975376336,0.228539806030443,-3.80561096909161,4.57349628401392e-21,5.77060893635456e-18,TRUE,DOWN
Fmo5,TRUE,80,1521,0.210181655486493,56.5376505053706,0.0385076303942632,0.381987961508026,-3.29366920715882,1.89180663244755e-18,2.1217662386584e-15,TRUE,DOWN
Cadm1,TRUE,74,1369,0.203402991875303,54.8060529058944,0.0356195581146934,0.343814279621622,-3.25290805389191,2.21831330030795e-18,2.357016258243e-15,TRUE,DOWN
Acsm3,TRUE,53,1055,0.153990281105551,56.7106496369389,0.0255113051361993,0.26495548940892,-3.35127318373489,5.2437082870517e-18,5.29299914494999e-15,TRUE,DOWN
Bcl6,TRUE,77,1349,0.198862398701394,54.105334753521,0.0370635942544783,0.338791426741832,-3.17510803961585,6.06543441787411e-18,5.83090428704964e-15,TRUE,DOWN
Gm20713,TRUE,8,301,0.0400896974823694,56.2406458242341,0.00385076303942632,0.0755939358408388,-4.13024630442267,7.6444112290842e-17,7.01478972239781e-14,TRUE,DOWN
Agps,TRUE,408,5477,0.797406769704872,54.6760592012902,0.196388915010742,1.37550826113048,-2.80524308430353,2.87987932620749e-16,2.52778277554247e-13,TRUE,DOWN
Tc2n,TRUE,6,277,0.0386630661034352,63.8159649940296,0.00288807227956974,0.0695665123850908,-4.37335271720581,4.42055451888802e-16,3.56968618509245e-13,TRUE,DOWN
Gabrb3,TRUE,8,349,0.0398951813115303,72.743234129181,0.00385076303942632,0.0876487827523347,-4.34305267692992,6.12377969045105e-16,4.75487939964714e-13,TRUE,DOWN
