symbol,tested,sum_a,sum_b,common_mean,dispersion,mean_a_sizenorm,mean_b_sizenorm,log2FC,p,p_adj,significant,Direction
Uty,TRUE,2,7885,1.55712434724167,144.341638150107,0.000865408874733377,2.8183755611852,-11.0845233365383,7.62126400383098e-38,5.29296785066061e-34,TRUE,DOWN
Cyp2j13,TRUE,18,12854,2.54068744554186,144.043083914096,0.00778867987260039,4.59447044558968,-9.12652231842909,4.7783745782884e-34,2.48893585846597e-30,TRUE,DOWN
Slc7a13,TRUE,16,10955,2.15598001036293,147.307830792115,0.00692327099786702,3.91570123941457,-9.0563785516067,8.30976896281419e-33,3.46268072680467e-29,TRUE,DOWN
Ugt8a,TRUE,14,6953,1.37450524802814,144.961377333269,0.00605786212313364,2.48524607189863,-8.58114459827077,9.27257165985992e-31,3.07755013939056e-27,TRUE,DOWN
Chst11,TRUE,2,3003,0.590993837672395,147.344622602331,0.000865408874733377,1.07337752824847,-9.69211443894478,1.03397412890492e-30,3.07755013939056e-27,TRUE,DOWN
Slco1a1,TRUE,3,3321,0.653227238763711,151.595888095222,0.00129811331210007,1.18704188188916,-9.42224420011403,7.14987320767488e-30,1.70663248371825e-26,TRUE,DOWN
Ddx3y,TRUE,1,2294,0.452489120428994,147.57001494672,0.000432704437366689,0.819956060540121,-9.88868628045283,7.37206256465766e-30,1.70663248371825e-26,TRUE,DOWN
Eif2s3y,TRUE,0,1714,0.339261924979862,149.14457934106,0,0.612643717421869,-10.4684007032118,6.12837356830558e-29,1.27684663295647e-25,TRUE,DOWN
Kdm5d,TRUE,0,1266,0.249117487845758,150.542596088588,0,0.452512804116737,-10.0316086512925,1.47527482888701e-26,2.79430464180553e-23,TRUE,DOWN
Gm33906,TRUE,7,661,0.131581652635944,162.236460807115,0.00302893106156682,0.236264584139939,-6.09509524895888,3.04319288798709e-16,3.7297014012477e-13,TRUE,DOWN
Gm20713,TRUE,4,508,0.100499664211844,164.109353282678,0.00173081774946675,0.181577017765642,-6.39400159333999,3.32191702653454e-16,3.84511895821373e-13,TRUE,DOWN
Slc22a30,TRUE,1066,36125,7.32850647613178,143.484276496928,0.46126293023289,12.912342060598,-4.80581328413216,8.21181381491891e-16,9.00490214914924e-13,TRUE,DOWN
