symbol,tested,sum_a,sum_b,common_mean,dispersion,mean_a_sizenorm,mean_b_sizenorm,log2FC,p,p_adj,significant,Direction
Cyp7b1,TRUE,24,38821,14.9225962070644,68.8895867401058,0.023781252664532,24.4543259697225,-9.94771308209885,3.2272943764596e-35,2.19337683472116e-31,TRUE,DOWN
Acsm3,TRUE,1,8532,3.335498714131,68.440357620683,0.000990885527688834,5.37452175816369,-11.4058197814543,4.81724890923743e-35,2.45547220026105e-31,TRUE,DOWN
Uty,TRUE,0,5844,2.27846440128953,68.0563140982549,0,3.6812828357605,-11.8599697581955,4.57738533634366e-34,1.86656619245422e-30,TRUE,DOWN
Slc7a13,TRUE,36,31910,12.4460584831529,67.5829426169029,0.035671878996798,20.1009129515944,-9.09929528198283,1.48493541513197e-32,5.04605802985428e-29,TRUE,DOWN
Ugt8a,TRUE,15,5016,1.95190169594813,68.5117599516872,0.0148632829153325,3.15970477484166,-7.63959167154078,7.69741820287142e-25,1.2072512287565e-21,TRUE,DOWN
Eif2s3y,TRUE,0,1419,0.555191484288847,70.6714715104553,0,0.893863850777576,-9.81865766316853,1.72639239244828e-24,2.51424389211629e-21,TRUE,DOWN
Sox2ot,TRUE,1,1627,0.624697917282738,72.1719360940792,0.000990885527688834,1.02488829120163,-9.01586743304273,1.01029782876242e-23,1.28743515191482e-20,TRUE,DOWN
Kdm5d,TRUE,0,1208,0.471446929408771,71.1735417787717,0,0.76094963477048,-9.58658097802561,1.96686948851572e-23,2.35897070596159e-20,TRUE,DOWN
Ddx3y,TRUE,1,1397,0.54658045605882,71.184815403438,0.000990885527688834,0.880005496501954,-8.79613109415192,4.4034324874433e-23,4.48907924932407e-20,TRUE,DOWN
Chst11,TRUE,23,4769,1.86182462873873,68.6327611237832,0.0227903671368432,3.0041132518381,-6.98179349894821,1.50189847644641e-22,1.33140034940286e-19,TRUE,DOWN
Slco1a1,TRUE,0,1264,0.495011349084699,79.8605274575099,0,0.79622544565388,-9.65190411835816,8.1679473415661e-22,6.93901159779963e-19,TRUE,DOWN
Mpped1,TRUE,0,724,0.278296076500861,73.9346151697232,0,0.456065840706811,-8.84881963367878,6.64313162929089e-20,4.67057968240041e-17,TRUE,DOWN
Pzp,TRUE,5,909,0.35533729713279,78.2596957485704,0.00495442763844417,0.572602001660899,-6.59174268314139,1.78973692842571e-16,1.01363739537977e-13,TRUE,DOWN
Fmo5,TRUE,57,2877,1.14393219729339,69.7802760068872,0.0564804750782636,1.81229478413466,-4.97985233038921,1.1849119185943e-14,4.83183382164382e-12,TRUE,DOWN
Kif20b,TRUE,124,5254,2.06890701538454,69.4323881598789,0.122869805433415,3.30962697109611,-4.74067321296394,4.69413155323623e-14,1.70824506784056e-11,TRUE,DOWN
Col6a6,TRUE,4,527,0.206593033611552,81.024873759363,0.00396354211075534,0.331970577420565,-6.06944847324758,8.44450571898944e-14,2.96853495007717e-11,TRUE,DOWN
Col19a1,TRUE,4,506,0.19784174092853,83.438649580133,0.00396354211075534,0.318742148339291,-6.01089629089246,2.4869802712187e-13,7.92297511716845e-11,TRUE,DOWN
Eri2,TRUE,8,553,0.217826493247187,73.6180743051694,0.00792708422151067,0.348348632473573,-5.29079961338336,4.08434461695278e-13,1.23359181403201e-10,TRUE,DOWN
Cyp2j13,TRUE,26,1105,0.437819383734847,72.8078831919661,0.0257630237199097,0.696067339752799,-4.70323061684773,1.52449055036159e-12,4.20038349071925e-10,TRUE,DOWN
Gm15348,TRUE,65,2218,0.883687401189202,69.5179479822084,0.0644075592997742,1.39717408106037,-4.41828228161505,1.61734049704286e-12,4.35600946889314e-10,TRUE,DOWN
Gm47761,TRUE,97,2788,1.11811455509724,70.7975254538057,0.0961158961858169,1.75623144183783,-4.17780482368959,1.54141198420407e-11,3.23998442741617e-09,TRUE,DOWN
Slc22a28,TRUE,670,16427,6.67491855604979,67.4423076590826,0.663893303551519,10.3477811675287,-3.96068272455536,1.78440439013995e-11,3.67497182934983e-09,TRUE,DOWN
Acsm2,TRUE,717,17460,7.11295118331243,67.4702480335506,0.710464923352894,10.9984938932886,-3.95099097968606,1.95147103212434e-11,3.97885428739832e-09,TRUE,DOWN
Asxl3,TRUE,18,649,0.256870539716446,72.5954270843616,0.017835939498399,0.408821451130829,-4.44335084324872,3.00226291394917e-11,5.88587870697208e-09,TRUE,DOWN
Slc22a30,TRUE,1282,29576,12.0008208358758,67.3092809220925,1.27031524649709,18.6306675479898,-3.87386510029749,3.56691472599909e-11,6.92626898556147e-09,TRUE,DOWN
Tspan13,TRUE,6,357,0.140025023934848,79.6458918024128,0.00594531316613301,0.224883294381673,-5.02344330398314,5.08198267731132e-11,9.50610502822941e-09,TRUE,DOWN
Arrdc2,TRUE,12,456,0.183997477980875,75.9862054359838,0.011890626332266,0.287245888621969,-4.48259308569347,1.61501872421803e-10,2.76711065277995e-08,TRUE,DOWN
Bcat1,TRUE,114,2726,1.08277042912166,74.2987460964347,0.112960950156527,1.71717607978835,-3.91459138274738,3.75334439217933e-10,5.84175105436217e-08,TRUE,DOWN
Gm29773,TRUE,22,799,0.3220207351077,88.6944631803435,0.0217994816091544,0.503310230282793,-4.4672766824942,8.9547276620886e-10,1.29487902342074e-07,TRUE,DOWN
Coro6,TRUE,12,444,0.17897289097231,82.9042900694251,0.011890626332266,0.279686786289812,-4.44420425648916,9.53472725397737e-10,1.36903911254468e-07,TRUE,DOWN
Gm11867,TRUE,35,849,0.339631475028657,73.9055734781838,0.0346809934691092,0.534806490000114,-3.90837647835924,1.06795905572991e-09,1.5016977370536e-07,TRUE,DOWN
Col5a3,TRUE,2,212,0.0826961398649296,97.2306023593257,0.00198177105537767,0.133544141201442,-5.49672956828117,1.73932867380505e-09,2.24450457786146e-07,TRUE,DOWN
Bcl6,TRUE,174,3146,1.28029941020985,68.7322405720666,0.172414081817857,1.98174466141385,-3.51553280024258,1.98596662818713e-09,2.53074209888172e-07,TRUE,DOWN
Ftcd,TRUE,37,827,0.336539575880784,73.0277399635881,0.0366627645244869,0.520948135724493,-3.79254189283223,2.02137716159022e-09,2.5598670153828e-07,TRUE,DOWN
Gm11290,TRUE,9,655,0.254798813243257,118.802686777036,0.00891796974919951,0.412601002296908,-5.38260635850721,2.29785033575959e-09,2.85676039608551e-07,TRUE,DOWN
