symbol,8wk_f1_ACTCCAA,8wk_f2_TCGAGAT,8wk_f3_GACACAG,8wk_f4_ACCTGAA,8wk_f5_TGGTCTC,8wk_m1_ACAGATA,8wk_m2_AAACCTT,8wk_m3_AACGGAG,8wk_m4_GTATTTG,8wk_m5_CTGGTGG
Ar,0.516026249335281,0.11885434008447,0.540175468100658,0.0978741247728494,-0.805400135232441,0.594501113596476,0.104622533734224,0.840417397165562,-0.553129192149684,-0.812488454372804
Cebpa,0.252289253650371,0.904350811768621,1.4059067358946,0.421382418549258,-0.794937088781658,0.397859452985435,0.0424914201152772,0.735621312711212,-1.20250403556598,-0.268194996340287
Creb1,1.11104223925847,0.359438131678643,-1.73081840558555,-1.60092706086913,-1.43292689373825,0.0670951693559467,-0.132695280687628,0.194857448669855,0.754608866869852,1.61033872250485
Ctcf,-0.106572937512085,-0.611822313833301,-0.490182291861773,-0.620433451426007,-0.578904082726417,0.35931103408209,0.461996596164207,2.00048371860905,-0.212553319416792,0.260229741918938
E2f1,-0.00853023961949336,-0.879930811668749,0.783268534638345,0.797750529382774,0.988431711207455,-0.98215375665226,-0.130604217620045,0.160290903304466,-0.375615231199503,0.0868832043039342
E2f4,-1.1045308635621,-0.527567983473695,0.823943483355785,0.62299496792496,0.555223709526849,-0.317453825168502,1.431593732372,0.9085461959473,-0.872915276480342,-1.49273407377127
Egr1,0.955348826015483,0.28239153207008,1.33181136388204,1.38708724930827,0.450291982712836,-0.693409415860426,-1.35546916365103,-1.37298677225508,-0.640146442393945,0.200469079455522
Ets1,1.49987808264498,0.999569243533103,-0.193946750292099,0.313936007379877,0.246580572155206,-0.929401875959108,-0.818650335667501,-1.52391236206759,0.222232588584339,0.626935555997412
Foxo1,2.09561235769149,1.96562262779612,0.248101671066087,0.317460252809451,0.318840019163106,-2.21600265825729,-1.39634938727954,-0.0546894771190477,-0.950796639765447,0.0189093871998448
Foxo3,2.31790858954746,2.39059330568659,0.0175822224763222,0.295036505857806,0.110897004729813,-1.47911396143914,-1.35501439899511,-0.877946106390694,-1.02308658890438,-0.646361273187196
Hif1a,1.63626050054704,1.30391638130793,1.01141699998014,1.63532985266721,1.55410338839315,-1.92016895440576,-1.28054615696738,-1.46915191427772,-0.37767736566854,-0.966540263799069
Hnf1a,-0.0515226590037363,1.23526306958882,-0.192000768235544,-1.0825232379029,0.53279282971788,-0.155603253357099,-1.40810661292187,-0.436165791827307,0.215219796293237,0.222538904986732
Hnf4a,2.3584547134998,0.62284597589424,-1.89761640797545,-1.461588301463,-0.643240170438888,-0.852716977157318,-0.0785340076474083,1.06793368724216,-0.74384046317331,1.05082651007976
Hnf4g,0.430066293544972,0.0794495497415616,-0.601919695619404,1.46105137704236,0.592536235679027,-1.25095146549661,0.215329332510146,0.336823435307175,-1.25285224411174,0.0322873676348217
Jun,1.983229726279,2.1607772478195,1.33332866598404,1.55985670592179,1.0400142334034,-3.30723453347241,-2.29189550304754,-0.90310515991016,-0.171158645501099,-1.20586493140332
Myc,-0.705909745857706,-1.40518697013323,-0.310732966238201,0.111077644219406,0.197915319520325,0.770654707026797,1.96403930312176,0.648909153972472,-0.145413476573754,-0.571273001108258
Nfkb1,0.928908432991766,1.50044208909462,1.10120260139001,1.73619689418232,0.38467184633488,-1.36610103350269,-1.60784562569539,-1.29640953061298,0.467878896406413,-0.51961521946222
Nr2f2,2.03259948066388,0.583606130063823,1.10337643814144,-0.417156392101316,0.32701084443549,-1.00762744983425,-0.0241765784294764,-0.294007254619381,-0.717347146897108,-0.351476807438053
Ppara,-0.158868494275686,-0.551981474530342,-0.744598989162079,-0.905593441129127,-1.17057018147652,0.808317124407787,-0.756999621355021,1.35480779775282,-0.374265518401683,2.02019272566794
Pparg,-0.663818334578975,-0.816122271081528,-1.30411072381983,-1.42001339495828,-0.244170857329503,-0.378354730512496,0.765036534216033,1.9037849237078,1.51774333604634,0.102753811823135
Prdm14,0.206762777688859,0.192083998710643,-1.11808914305707,-1.15264389169043,-0.76691078836454,1.66980534903588,0.373890911839815,1.28419810842582,-0.23172584145036,0.200521972487595
Rela,2.47992669764083,0.642848287398097,0.825050449954918,1.61556189977589,0.191530717875562,-1.86056126602886,-1.42797290951581,-1.26912833657055,-0.189841072411314,0.570819144190782
Rxra,-1.41261814650229,-0.337050810645008,-1.41680037315696,-1.31184396395448,-2.01539218120334,1.04398304221564,-0.502411064902388,1.67982092171489,0.676178451389335,2.05134726698035
Sox2,2.57004450124968,1.98968283072708,2.30998768301048,0.114937382643672,-0.65697852789083,-1.34461539096938,-1.90134659265802,-2.71878862008561,1.36210440535173,-0.840876549027203
Sp1,0.620474446385786,0.447923385966263,-0.170502240149219,-0.321681438359841,0.695706977344927,-1.22862799339344,0.508190491286142,0.491886107616725,-0.565741661620443,-1.14339421378061
Sp3,0.54779208038115,0.375086810359412,0.430765853799246,-0.842927677696361,1.39593947351648,-1.74853968052859,0.167171695773599,-0.561632004569959,-0.582615939732491,0.13502891494201
Stat1,1.10446943163359,0.378308162597407,-1.16085744594073,-0.558671551803691,-0.582349430405415,0.0253297135443577,0.0992520388321777,0.543883833559943,0.500498796885267,-0.538213067474832
