symbol,tested,sum_a,sum_b,common_mean,dispersion,mean_a_sizenorm,mean_b_sizenorm,log2FC,p,p_adj,significant,Direction
H2afz,TRUE,77,97,0.06526119,32.18351235,0.05316103,0.051897385,0.03830187,0.925901542,1,FALSE,UP
Gm40155,TRUE,8,9,0.004980748,27.23712483,0.005523224,0.004815221,0.215606402,0.821913736,1,FALSE,UP
Gm43689,TRUE,6,8,0.005116967,67.72014682,0.004142418,0.004280197,0.005039416,1,1,FALSE,UP
Lamtor3,TRUE,103,113,0.068589156,28.69229653,0.071111508,0.060457779,0.235159199,0.491522516,1,FALSE,UP
Gm19708,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Gm5105,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
1110002E22Rik,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Metap1,TRUE,186,234,0.134327755,29.68118643,0.128414957,0.125195754,0.037987009,0.892585867,1,FALSE,UP
Eif4e,TRUE,298,378,0.200854196,27.67943709,0.205740092,0.202239295,0.025557131,0.916272559,1,FALSE,UP
4930425O10Rik,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Gm43049,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Gm32754,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
4930590L14Rik,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Pdha2,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Gm15688,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Gm15689,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Pdlim5,TRUE,523,612,0.31842393,28.07408879,0.361080766,0.327435049,0.141289233,0.600919596,1,FALSE,UP
Gbp2b,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Gm15540,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
9530052C20Rik,TRUE,1,1,0.000509213,27.23712483,0.000690403,0.000535025,0.367609495,1,1,FALSE,UP
4930519L02Rik,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
A830019L24Rik,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Gm43613,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Gm43612,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
1700001N15Rik,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Gm43616,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Gm33651,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Gm33758,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Gm42704,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Gm6260,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Gm42705,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Gm42706,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Gm42707,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Gm42708,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Gm34078,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Gm43446,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Gm43447,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Hs2st1,TRUE,288,365,0.189817379,29.08110068,0.198836062,0.195283975,0.02683534,0.915354566,1,FALSE,UP
Selenof,TRUE,92,100,0.058884477,28.37965426,0.063517075,0.053502459,0.248556824,0.474326358,1,FALSE,UP
Clca3a1,TRUE,3,2,0.00145424,27.23712483,0.002071209,0.001070049,0.782646995,0.665617959,1,FALSE,UP
Gm34866,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Clca3a2,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Gm43240,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Clca3b,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Clca4b,TRUE,2,1,0.001052336,27.23712483,0.001380806,0.000535025,0.952571996,0.588380345,1,FALSE,UP
Gm16233,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Clca4a,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Gm35066,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Clca1,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Col24a1,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
9530034A14Rik,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
D530037P16Rik,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Znhit6,TRUE,66,79,0.045199997,37.54246639,0.045566598,0.042266943,0.111770591,0.79722543,1,FALSE,UP
2410004B18Rik,TRUE,77,89,0.059347095,34.10955427,0.05316103,0.047617188,0.161158618,0.669293316,1,FALSE,UP
Gm35409,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Gm10636,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Uox,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Dnase2b,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
Gm16325,FALSE,0,0,0,NA,0,0,0.367609495,NA,1,FALSE,UP
